Ship Mode-Same Day,Ship Mode-Standard Class,Ship Mode-First Class,Ship Mode-Second Class,Segment-Consumer,Segment-Corporate,Segment-Home Office,Region-Central,Region-East,Region-South,Region-West,Category-Furniture,Category-Office Supplies,Category-Technology,Sales,Quantity,Discount,Profit,Mean,Median,Cost,Cost_Per_Unit,Profit_Per_Unit,Profit_Margin
0,0,0,1,1,0,0,0,0,1,0,1,0,0,261.96,2,0,41.9136,45524,30487,220.0464,110.0232,20.9568,0.16
0,0,0,1,1,0,0,0,0,1,0,1,0,0,731.94,3,0,219.582,45524,30487,512.358,170.786,73.194,0.3
0,1,0,0,1,0,0,0,0,1,0,0,1,0,152.94,3,0,41.2938,45524,30487,111.6462,37.2154,13.7646,0.27
0,1,0,0,1,0,0,0,0,1,0,1,0,0,283.92,4,0,70.98,45524,30487,212.94,53.235,17.745,0.25
0,1,0,0,1,0,0,0,0,1,0,0,1,0,10.67,1,0,4.9082,45524,30487,5.7618,5.7618,4.9082,0.46
0,1,0,0,1,0,0,0,0,1,0,0,1,0,36.63,3,0,9.8901,45524,30487,26.7399,8.9133,3.2967,0.27
0,1,0,0,1,0,0,0,0,1,0,1,0,0,24.1,5,0,9.158,45524,30487,14.942,2.9884,1.8316,0.38
0,1,0,0,1,0,0,0,0,1,0,1,0,0,33.11,7,0,12.9129,45524,30487,20.1971,2.8853,1.8447,0.39
0,0,0,1,0,1,0,0,0,1,0,0,1,0,94.74,3,0,44.5278,45524,30487,50.2122,16.7374,14.8426,0.47
0,0,0,1,0,1,0,0,0,1,0,0,1,0,60.64,4,0,27.8944,45524,30487,32.7456,8.1864,6.9736,0.46
0,0,0,1,0,1,0,0,0,1,0,0,1,0,76.3,5,0,38.15,45524,30487,38.15,7.63,7.63,0.5
0,0,0,1,0,1,0,0,0,1,0,0,1,0,364.8,12,0,167.808,45524,30487,196.992,16.416,13.984,0.46
0,1,0,0,1,0,0,0,0,1,0,1,0,0,821.88,6,0,213.6888,45524,30487,608.1912,101.3652,35.6148,0.26
0,1,0,0,1,0,0,0,0,1,0,0,1,0,21.96,2,0,10.7604,45524,30487,11.1996,5.5998,5.3802,0.49
0,0,0,1,0,0,1,0,0,1,0,1,0,0,61,5,0,25.62,45524,30487,35.38,7.076,5.124,0.42
0,0,0,1,0,0,1,0,0,1,0,0,0,1,671.93,7,0,188.1404,45524,30487,483.7896,69.1128,26.8772,0.28
1,0,0,0,0,1,0,0,0,1,0,0,1,0,83.25,3,0,14.985,45524,30487,68.265,22.755,4.995,0.18
1,0,0,0,0,1,0,0,0,1,0,0,1,0,9.45,3,0,4.536,45524,30487,4.914,1.638,1.512,0.48
1,0,0,0,0,1,0,0,0,1,0,0,1,0,20.65,5,0,9.499,45524,30487,11.151,2.2302,1.8998,0.46
1,0,0,0,0,1,0,0,0,1,0,0,1,0,45.36,7,0,21.7728,45524,30487,23.5872,3.3696,3.1104,0.48
0,0,0,1,0,0,1,0,0,1,0,0,1,0,17.48,2,0,8.2156,45524,30487,9.2644,4.6322,4.1078,0.47
0,0,0,1,0,0,1,0,0,1,0,0,1,0,71.88,2,0,32.346,45524,30487,39.534,19.767,16.173,0.45
0,0,0,1,1,0,0,0,0,1,0,0,1,0,20,4,0,9.6,45524,30487,10.4,2.6,2.4,0.48
0,0,0,1,1,0,0,0,0,1,0,0,1,0,7.98,3,0,2.0748,45524,30487,5.9052,1.9684,0.6916,0.26
0,0,0,1,1,0,0,0,0,1,0,1,0,0,24.1,5,0,9.158,45524,30487,14.942,2.9884,1.8316,0.38
